Al Orouba Street
Al Ahram Street
Abou Bakr El Seddik Street
Makram Ebeid Street
Zeraai Street
El Galaa Street
Zaker Hussain Street
El Thawra Street
Adly Street
Al Haram Street
Ramses Street
Al Haram Street
Zizinia El Mostakbal Street
Galaa Street
Ismael Serry Street
El Mokattam Street
Abou Kir Street
El Obour City Street
El Tayaran Street
El Obour City Street
El Muezz Street
Nasr City Street
Abd El Khalek Tharwat Street
Al Orouba Street
El Thawra Street
Wadi El Nile Street
Al Orouba Street
26th of July Corridor
El Khalifa Street
Zeraai Street
Adly Street
El Orouba Street
Faisal Street
El Agouza Street
El Wahat Road
El Adel Street
El Remaya Square
El Giza Street
El Adel Street
El Ahram Street
El Fayoum Road
El Nasr Street
El Zamalek Street
El Nasr Street
El Orman Road
El Agouza Street
El Taawun Street
El Wahat Road
El Mansheya Square
El Mandara Gardens Avenue
El Raml Station Square
El Maamora Avenue
El Shatby Avenue
El Raml Station Gardens Road
El Alamein Road
El Mandara Gardens Street
El Horreya Gardens Street
El Maamora Road
El Alamein Avenue
El Gish Road
El Gomrok Road
El Maamora Road
Saad Zaghloul Street
El Chalalat Road
El Mandara Square
El Ibrahimeya Street
El Raml Station Gardens Avenue
El Sultan Hussein Street
Al Orouba Street
