1000,Gameat El Dewal El Arabia Street,Combustion,Damage Assessment,Class D,10000000000001
1001,Sakr Koreish Street,Oxygen,Rate of Spread,Class A,10000000000002
1002,Tahrir Square,Fire Dynamics,Burn Severity,Class A,10000000000001
1003,Nile Corniche,Firefighting Challenges,Burn Severity,Class A,10000000000001
1004,Abou Bakr El Seddik Street,Firefighting Challenges,Risk to Life,Class B,10000000000002
1005,Abd El Khalek Tharwat Street,Fire Triangle,Environmental Impact,Class C,10000000000004
1006,Makram Ebeid Street,Fire Behavior,Damage Assessment,Class B,10000000000001
1007,El Muezz Street,Fire Behavior,Intensity of Heat,Class K,10000000000001
1000,El Mohandesin Street,Fuel,Burn Severity,Class C,10000000000002
1001,El Shuhadaa Street,Combustion,Rate of Spread,Class A,10000000000004
1002,El Fawatem Street,Fuel,Risk to Life,Class C,10000000000004
1003,El Asmaa Fahmy Street,Heat Transfer,Smoke Production,Class D,10000000000002
1004,El Shuhadaa Street,Fire Classification,Environmental Impact,Class A,10000000000002
1000,El Alamein Avenue,Combustion,Risk to Life,Class A,10000000000004
1001,El Mandara Gardens Street,Combustion,Damage Assessment,Class A,10000000000001
1002,El Labban Street,Heat Transfer,Extent of Damage,Class B,10000000000003
1003,El Ibrahimeya Street,Heat Transfer,Resource Allocation,Class C,10000000000003
